SeasonID,WeekID,Week,HomeTeamID,HomeTeam,AwayTeamID,AwayTeam,IsConference,IsDivisional,IsRivalry,IsNeutral,StadiumID,Stadium,City,State,TimeSlot
7,2701,1,130,WYOM,119,UTST,FALSE,FALSE,TRUE,FALSE,130,Jonah Field at War Memorial Stadium,Laramie,Wyoming,Friday Night
7,2701,1,43,IAST,110,UCF,TRUE,FALSE,FALSE,FALSE,43,Jack Trice Stadium,Ames,Iowa,Saturday Afternoon
7,2701,1,44,KANS,64,MIZZ,FALSE,FALSE,TRUE,FALSE,44,David Booth Kansas Memorial Stadium,Lawrence,Kansas,Saturday Afternoon
7,2701,1,143,NDSU,144,SDST,FALSE,FALSE,TRUE,FALSE,143,Fargodome,Fargo,ND,Saturday Afternoon
7,2701,1,185,PV,192,TXSO,TRUE,TRUE,TRUE,FALSE,185,Blackshear Field,Prairie View,TX,Saturday Afternoon
7,2701,1,195,CHSO,176,CIT,FALSE,FALSE,TRUE,FALSE,220,Buccaneer Field,Bules Creek,NC,Saturday Afternoon
7,2701,1,25,CSU,24,COLO,FALSE,FALSE,TRUE,FALSE,25,Sonny Lubick Field at Canvas Stadium,Fort Collins,Colorado,Saturday Evening
7,2701,1,267,UOG,177,WOF,FALSE,FALSE,FALSE,FALSE,292,National Football Stadium,Mangilao,GM,Saturday Evening
7,2701,1,268,American Samoa,87,Rice,FALSE,FALSE,FALSE,FALSE,293,Veterans Memorial Stadium,Pago Pago,AS,Saturday Evening
7,2701,1,75,ND,65,NAVY,FALSE,FALSE,TRUE,FALSE,75,Notre Dame Stadium,South Bend,Indiana,Saturday Morning
7,2701,1,214,RICH,182,VMI,FALSE,FALSE,TRUE,FALSE,239,E. Claiborne Robins Stadium,Richmond,VA,Saturday Morning
7,2701,1,220,SHU,227,CCSU,FALSE,FALSE,FALSE,FALSE,245,Campus Field,Fairfield,CT,Saturday Morning
7,2701,1,125,Washington State,108,Tulsa,FALSE,FALSE,FALSE,TRUE,6,"Sun Devil Stadium, Frank Kush Field",Tempe,Arizona,Saturday Night
7,2701,1,243,St. Thomas,129,Wisconsin,FALSE,FALSE,FALSE,FALSE,268,O'Shaughnessy Stadium,Saint Paul,MN,Saturday Night
7,2701,1,3,Alabama,94,South Florida,FALSE,FALSE,FALSE,FALSE,0,Bryant-Denny Stadium,Tuscaloosa,Alabama,Thursday Night
7,2701,1,4,Appalachian State,180,Western Carolina,FALSE,FALSE,FALSE,FALSE,0,Kidd Brewer Stadium,Boone,North Carolina,Thursday Night
7,2701,1,5,Arizona,69,New Mexico,FALSE,FALSE,FALSE,FALSE,0,Arizona Stadium,Tucson,Arizona,Thursday Night
7,2701,1,8,ARST,79,OKST,FALSE,FALSE,FALSE,FALSE,0,Centennial Bank Stadium,Jonesboro,Arkansas,Thursday Night
7,2701,1,11,Ball State,26,Duke,FALSE,FALSE,FALSE,FALSE,0,Scheumann Stadium,Muncie,Indiana,Thursday Night
7,2701,1,14,Boston College,23,Coastal Carolina,FALSE,FALSE,FALSE,FALSE,0,Alumni Stadium,Chestnut Hill,Massachusetts,Thursday Night
7,2701,1,15,BGSU,30,FLA,FALSE,FALSE,FALSE,FALSE,0,Doyt L. Perry Stadium,Bowling Green,Ohio,Thursday Night
7,2701,1,17,BYU,34,Georgia,FALSE,FALSE,FALSE,FALSE,0,LaVell Edwards Stadium,Provo,Utah,Thursday Night
7,2701,1,19,Central Michigan,60,Michigan State,FALSE,FALSE,FALSE,FALSE,0,Kelly/Shorts Stadium,Mount Pleasant,Michigan,Thursday Night
7,2701,1,21,Cincinnati,122,Virginia Tech,FALSE,FALSE,FALSE,FALSE,0,Nippert Stadium,Cincinnati,Ohio,Thursday Night
7,2701,1,31,Florida Atlantic,163,Portland State,FALSE,FALSE,FALSE,FALSE,0,FAU Stadium,Boca Raton,Florida,Thursday Night
7,2701,1,36,Georgia State,264,West Georgia,FALSE,FALSE,FALSE,FALSE,0,Georgia State Stadium,Atlanta,Georgia,Thursday Night
7,2701,1,37,Georgia Tech,77,Ohio State,FALSE,FALSE,FALSE,FALSE,0,Bobby Dodd Stadium at Historic Grant Field,Atlanta,Georgia,Thursday Night
7,2701,1,40,Illinois,7,Arkansas,FALSE,FALSE,FALSE,FALSE,0,Memorial Stadium,Urbana Champaign,Illinois,Thursday Night
7,2701,1,42,Iowa,255,Abilene Christian,FALSE,FALSE,FALSE,FALSE,0,Kinnick Stadium,Iowa City,Iowa,Thursday Night
7,2701,1,54,Marshall,13,Boise State,FALSE,FALSE,FALSE,FALSE,0,Joan C. Edwards Stadium,Huntington,West Virginia,Thursday Night
7,2701,1,62,MINN,154,UCD,FALSE,FALSE,FALSE,FALSE,0,TCF Bank Stadium,Minneapolis,Minnesota,Thursday Night
7,2701,1,66,NCST,237,DAY,FALSE,FALSE,FALSE,FALSE,0,Wayne Day Family Field at Carter-Finley Stadium,Raleigh,North Carolina,Thursday Night
7,2701,1,72,North Texas,91,SMU,FALSE,FALSE,FALSE,FALSE,0,Apogee Stadium,Denton,Texas,Thursday Night
7,2701,1,83,ORST,104,TTU,FALSE,FALSE,FALSE,FALSE,0,Reser Stadium,Corvallis,Oregon,Thursday Night
7,2701,1,86,PURD,39,UHOU,FALSE,FALSE,FALSE,FALSE,0,Ross-Ade Stadium,West Lafayette,Indiana,Thursday Night
7,2701,1,93,South Carolina,71,North Carolina,FALSE,FALSE,FALSE,FALSE,0,Williams-Brice Stadium,Columbia,South Carolina,Thursday Night
7,2701,1,95,Southern Miss,6,Arizona State,FALSE,FALSE,FALSE,FALSE,0,Carlisle-Faulkner Field at M.M. Roberts Stadium,Hattiesburg,Mississippi,Thursday Night
7,2701,1,96,Stanford,199,Southeast Missouri State,FALSE,FALSE,FALSE,FALSE,0,Stanford Stadium,Stanford,California,Thursday Night
7,2701,1,102,Texas A&M,253,East Texas A&M,FALSE,FALSE,FALSE,FALSE,0,Kyle Field,College Station,Texas,Thursday Night
7,2701,1,106,TROY,132,JST,FALSE,FALSE,TRUE,FALSE,106,Veterans Memorial Stadium at Larry Blakeney Field,Troy,Alabama,Thursday Night
7,2701,1,107,Tulane,118,Utah,FALSE,FALSE,FALSE,FALSE,0,Barry B. Benson Field at Yulman Stadium,New Orleans,Louisiana,Thursday Night
7,2701,1,111,UCLA,18,CAL,FALSE,FALSE,FALSE,FALSE,0,Rose Bowl Stadium,Los Angeles,California,Thursday Night
7,2701,1,114,UNLV,59,Michigan,FALSE,FALSE,FALSE,FALSE,0,Allegient Stadium,Las Vegas,Nevada,Thursday Night
7,2701,1,126,West Virginia,128,Western Michigan,FALSE,FALSE,FALSE,FALSE,0,Mountaineer Field at Milan Puskar Stadium,Morgantown,West Virginia,Thursday Night
7,2701,1,131,JMU,74,NW,FALSE,FALSE,FALSE,FALSE,0,Bridgeforth Stadium,Harrisonburg,Virginia,Thursday Night
7,2701,1,190,FAMU,194,JXST,TRUE,TRUE,TRUE,FALSE,190,Bragg Memorial Stadium,Tallahassee,FL,Thursday Night
7,2701,1,206,DEL,221,DSU,FALSE,FALSE,TRUE,FALSE,231,Delaware Stadium,Newark,DE,Thursday Night
7,2701,1,228,DUQ,85,PITT,FALSE,FALSE,FALSE,TRUE,2901,Heinz Field,Pittsburgh,PA,Thursday Night
7,2702,2,42,IOWA,43,IAST,FALSE,FALSE,TRUE,FALSE,42,Kinnick Stadium,Iowa City,Iowa,Friday Night
7,2702,2,21,CINC,110,UCF,TRUE,FALSE,TRUE,FALSE,21,Nippert Stadium,Cincinnati,Ohio,Saturday Afternoon
7,2702,2,30,FLA,63,MSST,TRUE,FALSE,FALSE,FALSE,30,Steve Spurrier-Florida Field at Ben Hill Griffin Stadium,Gainesville,Florida,Saturday Afternoon
7,2702,2,228,Duquesne,122,Virginia Tech,FALSE,FALSE,FALSE,FALSE,253,Arthur J. Rooney Athletic Field,Pittsburgh,PA,Saturday Afternoon
7,2702,2,24,COLO,12,BAYL,TRUE,FALSE,FALSE,FALSE,24,Folsom Field,Boulder,Colorado,Saturday Evening
7,2702,2,33,FRES,90,SJSU,FALSE,FALSE,TRUE,FALSE,33,Bulldog Stadium at Jim Sweeney Field,Fresno,California,Saturday Evening
7,2702,2,77,OHST,84,PNST,TRUE,FALSE,TRUE,FALSE,77,Ohio Stadium,Columbus,Ohio,Saturday Evening
