GameID,Season,Week,Home Team,Away Team,Conference Game,Division Game,Neutral Site,Conference Champ,Bowl Game,Playoff,National Champ,HomePrevBye,AwayPrevBye,Listed Coach,Other Coach,TimeSlot,Stadium,City,State,Domed Stadium,GameTitle,Info,NextGameID,NextGameHoA
5491,2026,0,ELON,IDHO,0,0,0,0,0,0,0,0,0,AI,TuscanSota,Thursday Night,Rhodes Stadium,Elon,NC,0,,,0,
5492,2026,0,USF,UCF,0,0,0,0,0,0,0,0,0,iToxickiddy,Wooden,Thursday Night,Raymond James Stadium,Tampa,Florida,0,,,0,
5493,2026,0,FSU,TLNE,0,0,0,0,0,0,0,0,0,Kirby,kgreene829,Thursday Night,Bobby Bowden Field at Doak S. Campbell Stadium,Tallahassee,Florida,0,,,0,
5494,2026,0,CINC,MIAO,0,0,0,0,0,0,0,0,0,ADMsmith,Willow,Thursday Night,Nippert Stadium,Cincinnati,Ohio,0,,,0,
5495,2026,0,WMU,MICH,0,0,1,0,0,0,0,0,0,Jieret,subsequent,Thursday Night,Deutsche Bank Park,Frankfurt,Germany,0,Oktoberbowl,,0,
5496,2026,0,BC,ND,0,0,0,0,0,0,0,0,0,Fireballer34,LordLittlebutt,Thursday Night,Alumni Stadium,Chestnut Hill,Massachusetts,0,,,0,
5497,2026,0,FLA,MIAF,0,0,0,0,0,0,0,0,0,Weeze,Dearden,Thursday Night,Steve Spurrier-Florida Field at Ben Hill Griffin Stadium,Gainesville,Florida,0,,,0,
5498,2026,0,LOU,MEMP,0,0,0,0,0,0,0,0,0,Sandmanlost,AI,Thursday Night,Cardinal Stadium,Louisville,Kentucky,0,,,0,
5499,2026,0,NW,ECU,0,0,0,0,0,0,0,0,0,T007disney,ObliviousLAX,Thursday Night,Ryan Field,Evanston,Illinois,0,,,0,
5500,2026,0,OHST,SDSU,0,0,0,0,0,0,0,0,0,Coach123,Jumbo,Thursday Night,Ohio Stadium,Columbus,Ohio,0,,,0,
5501,2026,0,ALST,BAMA,0,0,0,0,0,0,0,0,0,AI,thatfunk,Thursday Night,New ASU Stadium,Montgomery,AL,0,,,0,
5502,2026,0,MISS,JXST,0,0,0,0,0,0,0,0,0,SlapYourBasil,AI,Thursday Night,Vaught-Hemingway Stadium at Hollingsworth Field,Oxford,Mississippi,0,,,0,
5503,2026,0,SAM,UTM,1,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,Seibert Stadium,Homewood,AL,0,,,0,
5504,2026,0,YSU,WIU,1,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,Stambaugh Stadium,Youngstown,OH,0,,,0,
5505,2026,0,RICH,MORG,1,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,E. Claiborne Robins Stadium,Richmond,VA,0,,,0,
5506,2026,0,VMI,NORF,1,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,Foster Stadium,Lexington,VA,0,,,0,
5507,2026,0,BCU,SCST,1,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,Daytona Stadium,Daytona Beach,FL,0,,,0,
5508,2026,0,APSU,UTC,1,1,0,0,0,0,0,0,0,AI,AI,Thursday Night,Fortera Stadium,Clarksville,TN,0,,,0,
5509,2026,0,FOR,SHU,1,0,0,0,0,0,0,0,0,AI,dotNectar,Thursday Night,Jack Coffey Field,Bronx,NY,0,,,0,
5510,2026,0,SSU,CCSU,1,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,Hornet Stadium,Sacramento,CA,0,,,0,
5511,2026,0,SFPA,FAMU,1,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,DeGol Field,Loretto,PA,0,,,0,
5512,2026,0,ETSU,MCN,1,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,William B. Greene Jr. Stadium,Johnson City,TN,0,,,0,
5513,2026,0,CIT,HCU,1,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,Johnson Hagood Stadium,Charleston,SC,0,,,0,
5514,2026,1,WAKE,MIST,0,0,0,0,0,0,0,0,0,Qupax,jedibob5,Thursday Night,BB&T Field,Winston-Salem,North Carolina,0,,,0,
5515,2026,1,IDHO,SSU,0,0,0,0,0,0,0,0,0,TuscanSota,AI,Thursday Night,Kibbie Dome,Moscow,ID,0,,,0,
5516,2026,1,STAN,ETAM,0,0,0,0,0,0,0,0,0,Ricky Campbell,AI,Thursday Night,Stanford Stadium,Stanford,California,0,,,0,
5517,2026,1,ILLI,USF,0,0,0,0,0,0,0,0,0,nemolee.exe,iToxickiddy,Thursday Night,Memorial Stadium,Urbana Champaign,Illinois,0,,,0,
5518,2026,1,WVU,PITT,0,0,0,0,0,0,0,0,0,smackemz3,TheLiberator,Thursday Night,Mountaineer Field at Milan Puskar Stadium,Morgantown,West Virginia,0,,,0,
5519,2026,1,IDST,USC,0,0,0,0,0,0,0,0,0,alexfall862,Dr_Novella,Thursday Night,Holt Arena,Pocatello,ID,0,,,0,
5520,2026,1,MRSH,NIU,0,0,0,0,0,0,0,0,0,Newkbomb,Ape,Thursday Night,Joan C. Edwards Stadium,Huntington,West Virginia,0,,,0,
5521,2026,1,TULS,IND,0,0,0,0,0,0,0,0,0,acewulf,Piercewise1,Thursday Night,Skelly Field at H. A. Chapman Stadium,Tulsa,Oklahoma,0,,,0,
5522,2026,1,UNC,UTAH,0,0,0,0,0,0,0,0,0,Tryggr,SageBow,Thursday Night,Kenan Memorial Stadium,Chapel Hill,North Carolina,0,,,0,
5523,2026,1,BUFF,IAST,0,0,0,0,0,0,0,0,0,AI,bananabreadbitch,Thursday Night,UB Stadium,Buffalo,New York,0,,,0,
5524,2026,1,OKST,CMU,0,0,0,0,0,0,0,0,0,AI,Raider42,Thursday Night,Boone Pickens Stadium,Stillwater,Oklahoma,0,,,0,
5525,2026,1,CINC,BGSU,0,0,0,0,0,0,0,0,0,ADMsmith,PoopyRhinoPickle,Thursday Night,Nippert Stadium,Cincinnati,Ohio,0,,,0,
5526,2026,1,VT,AZST,0,0,0,0,0,0,0,0,0,Zz3DWAFFLEzZ,Gramps,Thursday Night,Worsham Field at Lane Stadium,Blacksburg,Virginia,0,,,0,
5527,2026,1,DEL,DSU,0,0,0,0,0,0,0,0,0,Osu,AI,Thursday Night,Delaware Stadium,Newark,DE,0,,,0,
5528,2026,1,INST,PURD,0,0,0,0,0,0,0,0,0,AI,MasonAsher,Thursday Night,Memorial Stadium,Terre Haute,IN,0,,,0,
5529,2026,1,MOST,ODU,0,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,Robert W. Plaster Stadium,Springfield,MO,0,,,0,
5530,2026,1,JST,GAST,0,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,Burgess-Snow Field at JSU Stadium,Jacksonville,Alabama,0,,,0,
5531,2026,1,TROY,LU,0,0,0,0,0,0,0,0,0,AI,TCM12,Thursday Night,Veterans Memorial Stadium at Larry Blakeney Field,Troy,Alabama,0,,,0,
5532,2026,1,SHSU,ULM,0,0,0,0,0,0,0,0,0,AI,bbigguns92,Thursday Night,Bowers Stadium,Huntsville,Texas,0,,,0,
5533,2026,1,WKU,USM,0,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,L. T. Smith Stadium at Jimmy Feix Field,Bowling Green,Kentucky,0,,,0,
5534,2026,1,APST,EMU,0,0,0,0,0,0,0,0,0,Mightydog135,fjames92,Thursday Night,Kidd Brewer Stadium,Boone,North Carolina,0,,,0,
5535,2026,1,NEB,KENT,0,0,0,0,0,0,0,0,0,jcspartan876,AI,Thursday Night,"Memorial Stadium, Tom Osborne Field",Lincoln,Nebraska,0,,,0,
5536,2026,1,IOWA,AKRN,0,0,0,0,0,0,0,0,0,kaydennpierce,banana,Thursday Night,Kinnick Stadium,Iowa City,Iowa,0,,,0,
5537,2026,1,USAF,TLDO,0,0,0,0,0,0,0,0,0,AI,ArmTheSharks,Thursday Night,Falcon Stadium,Colorado Springs,Colorado,0,,,0,
5538,2026,1,BYU,UTEP,0,0,0,0,0,0,0,0,0,Spoof,AI,Thursday Night,LaVell Edwards Stadium,Provo,Utah,0,,,0,
5539,2026,1,MASS,CONN,0,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,Warren McGuirk Alumni Stadium,Amherst,Massachusetts,0,,,0,
5540,2026,1,TENN,UNT,0,0,0,0,0,0,0,0,0,tsweezy,EmeraldSeasSunshine,Thursday Night,Neyland Stadium,Knoxville,Tennessee,0,,,0,
5541,2026,1,UMD,TTU,0,0,0,0,0,0,0,0,0,soufsta,rcarlson77,Thursday Night,Capital One Field at Maryland Stadium,College Park,Maryland,0,,,0,
5542,2026,1,USD,CP,0,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,Torero Stadium,San Diego,CA,0,,,0,
5543,2026,1,UNI,DRKE,0,0,0,0,0,0,0,0,0,AI,AI,Thursday Night,UNI-Dome,Cedar Falls,IA,0,,,0,
5544,2026,1,USA,GT,0,0,0,0,0,0,0,0,0,jgreene816,ATonOfLaw,Thursday Night,Ladd-Peebles Stadium,Mobile,Alabama,0,,,0,
5545,2026,1,CCU,MIZZ,0,0,0,0,0,0,0,0,0,Iied,tom44666,Thursday Night,Brooks Stadium,Conway,South Carolina,0,,,0,
5546,2026,1,MIAF,UGA,0,0,0,0,0,0,0,0,0,Dearden,Sarge,Thursday Night,Hard Rock Stadium,Coral Gables,Florida,0,,,0,
