GameID,Season,Week,Home Team,Away Team,Neutral Site,PreSeason,Conference Champ,Playoff,National Champ,Listed Coach,Other Coach,TimeSlot,Stadium,City,State,GameTitle,Info,NextGameID,HoA
1333,2027,1,NYJ,TEN,0,1,0,0,0,Tryggr,Dearden,Sunday Noon,MetLife Stadium,East Rutherford,NJ,,,0,
1334,2027,1,PHI,IND,0,1,0,0,0,acewulf,npklemm,Sunday Noon,Lincoln Financial Field,Philadelphia,PA,,,0,
1335,2027,1,PIT,MIN,0,1,0,0,0,DramaticBacon,Bellwood,Sunday Noon,Heinz Field,Pittsburgh,PA,,,0,
1336,2027,1,LV,CHI,0,1,0,0,0,Jieret,nemolee.exe,Sunday Afternoon,Allegiant Stadium,Paradise,NV,,,0,
1337,2027,1,BUF,WAS,0,1,0,0,0,Minnow,Ewade,Sunday Noon,Highmark Stadium,Orchard Park,NY,,,0,
1338,2027,1,HOU,NYG,0,1,0,0,0,lied,thatfunk,Sunday Afternoon,NRG Stadium,Houston,TX,,,0,
1339,2027,1,BAL,LAC,0,1,0,0,0,SyndaKyt,Dean,Sunday Noon,M&T Bank Stadium,Baltimore,MD,,,0,
1340,2027,1,KC,DET,0,1,0,0,0,Newkbomb,jmjacobs,Sunday Afternoon,Arrowhead Stadium,Kansas City,MO,,,0,
1341,2027,1,SEA,TB,0,1,0,0,0,CoachCartier,ATonOfLaw,Sunday Afternoon,Lumen Field,Seattle,WA,,,0,
1342,2027,1,ARI,CLE,0,1,0,0,0,tommygunner,LordLittleButt,Sunday Afternoon,State Farm Stadium,Glendale,AZ,,,0,
1343,2027,1,ATL,GB,0,1,0,0,0,mahrowkeen,JC,Sunday Noon,Mercedes-Benz Stadium,Atlanta,GA,,,0,
1344,2027,1,NE,DAL,0,1,0,0,0,Curby4,shawnzi83,Sunday Noon,Gillette Stadium,Foxborough,MA,,,0,
1345,2027,1,SF,DEN,0,1,0,0,0,Dr_Novella,alexfall862,Sunday Afternoon,Levi's Stadium,Santa Clara,CA,,,0,
1346,2027,1,CAR,JAX,0,1,0,0,0,Sarge,Weeze,Sunday Noon,Bank of America Stadium,Charlotte,NC,,,0,
1347,2027,1,NO,MIA,0,1,0,0,0,servo75,TheLiberator,Sunday Afternoon,Caesars Superdome,New Orleans,LA,,,0,
1348,2027,1,CIN,LAR,0,1,0,0,0,Ezaco,Vivid,Sunday Afternoon,Paul Brown Stadium,Cincinnati,OH,,,0,
1349,2027,2,TEN,PHI,0,1,0,0,0,Dearden,acewulf,Sunday Afternoon,Nissan Stadium,Nashville,TN,,,0,
1350,2027,2,LAR,LAC,0,1,0,0,0,Vivid,Dean,Sunday Afternoon,SoFi Stadium,Inglewood,CA,,,0,
1351,2027,2,LV,MIN,0,1,0,0,0,Jieret,Bellwood,Sunday Afternoon,Allegiant Stadium,Paradise,NV,,,0,
1352,2027,2,CHI,NYG,0,1,0,0,0,nemolee.exe,thatfunk,Sunday Afternoon,Soldier Field,Chicago,IL,,,0,
1353,2027,2,ATL,NYJ,0,1,0,0,0,mahrowkeen,Tryggr,Sunday Noon,Mercedes-Benz Stadium,Atlanta,GA,,,0,
1354,2027,2,CLE,DET,0,1,0,0,0,LordLittleButt,jmjacobs,Sunday Noon,FirstEnergy Stadium,Cleveland,OH,,,0,
1355,2027,2,HOU,KC,0,1,0,0,0,lied,Newkbomb,Sunday Afternoon,NRG Stadium,Houston,TX,,,0,
1356,2027,2,ARI,BAL,0,1,0,0,0,tommygunner,SyndaKyt,Sunday Afternoon,State Farm Stadium,Glendale,AZ,,,0,
1357,2027,2,DAL,BUF,0,1,0,0,0,shawnzi83,Minnow,Sunday Afternoon,AT&T Stadium,Arlington,TX,,,0,
1358,2027,2,IND,SF,0,1,0,0,0,npklemm,Dr_Novella,Sunday Afternoon,Lucas Oil Stadium,Indianapolis,IN,,,0,
